# path	class	soname	elf_type
usr/lib/gconv/IBM861.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM862.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM863.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM864.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM865.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM866.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM866NAV.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM868.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM869.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM870.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM871.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM874.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM875.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM880.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM891.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM901.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM902.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM903.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM9030.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM904.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM905.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM9066.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM918.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM921.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM922.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM930.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM932.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM933.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM935.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM937.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM939.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM943.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM9448.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IEC_P27-1.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/INIS-8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/INIS-CYRILLIC.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/INIS.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISIRI-3342.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-2022-CN-EXT.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-2022-CN.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-2022-JP-3.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/ISO-2022-JP.so	plugin	-	DYN (Shared object file)
