# path	elf_type	interp	needed (comma-separated)
usr/bin/tdbbackup	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libtdb.so.1
usr/bin/tdbdump	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libtdb.so.1
usr/bin/tdbrestore	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libtdb.so.1
usr/bin/tdbtool	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpthread.so.0,libtdb.so.1
usr/bin/testparm	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt-samba3-samba4.so,libpopt.so.0,libpthread.so.0,libsamba-debug-samba4.so,libsamba-hostconfig.so.0,libsamba-sockets-samba4.so,libsamba-util.so.0,libserver-role-samba4.so,libsmbconf.so.0,libtalloc.so.2
usr/bin/tic	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libncursesw.so.6
usr/bin/tickadj	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcap.so.2,libm.so.6,libpthread.so.0
usr/bin/tmux	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevent-2.1.so.7,libncursesw.so.6,libresolv.so.2,libutil.so.1
usr/bin/toe	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libncursesw.so.6
usr/bin/touchpad-edge-detector	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libevdev.so.2,libm.so.6
usr/bin/tput	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libncursesw.so.6
usr/bin/tracepath	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/tset	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libncursesw.so.6
usr/bin/udevadm	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libblkid.so.1,libc.so.6,libcrypto.so.1.1,libkmod.so.2,liblzma.so.5,libpthread.so.0,libz.so.1
usr/bin/umount	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libblkid.so.1,libc.so.6,libmount.so.1,librt.so.1
usr/bin/unix2dos	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/unrar	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libgcc_s.so.1,libm.so.6,libpthread.so.0,libstdc++.so.6
usr/bin/unzip	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/usbhid-dump	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libusb-1.0.so.0
usr/bin/uuidgen	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libuuid.so.1
usr/bin/uuidparse	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libsmartcols.so.1,libuuid.so.1
usr/bin/vcut	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libm.so.6,libogg.so.0,libvorbis.so.0
usr/bin/vgmplay	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libao.so.4,libc.so.6,libm.so.6,libpthread.so.0,librt.so.1,libz.so.1
usr/bin/vim	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libdl.so.2,libgpm.so.2,libm.so.6,libncursesw.so.6
usr/bin/vorbiscomment	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libm.so.6,libogg.so.0,libvorbis.so.0
